AP_RNTLS,INS_ANCIL_RNTLS,EARNED_PTS,D_RNTLS,NUM_1D_RNTLS,NUM_2D_RNTLS,NUM_3D_RNTLS,NUM_4D_RNTLS,NUM_5D_RNTLS,NUM_GT5D_RNTLS,REVENUE,Religious.Contributor,Religious.Magazine,RevenuePerDay,STATE.ABBREVIATION,Special.Foods.Buyer,Sports.Magazine.Male,Upscale.Merch.Buyer,NUM_RENTALS,News.and.finance,Num_Adults.in.LU,NumberOfDays,OAP_RNTLS,OCCUPATION.GROUP.V2,Opportunity.seeker,Political.Contributor,HTZ_ZIP,Health.Contributor,ID_RNTLS,LENGTH.OF.RESIDENCE,MAIL.RESPONDER,MARITAL.STATUS,Male.Merch.Buyer,CHILDREN..AGE.0.18.VERSION.3,COMBINED.AGE,CURRENT_TIER,Crafts.Hobby.Buyer,Culinary.Magazine,D.I.Yers,DWELLING.TYPE,DWELLING.UNIT.SIZE,EDUCATION.MODEL,EMAIL_OPTIN,EST.HOUSEHOLD.INCOME.V5,Family.Magazine,Female.Merch.buyer,Female.Orient.Magazine,GENDER,GPR_ENROLL_DATE,Gardening.Buyer,Gardening.Magazinr,General.Contributor,General.Merch.buyer,Gifts.and.Gadgets.Buyer,HTZ_CITY,HTZ_CUSTID,HTZ_STATE,NONINS_ANCIL_RNTLS,fitness.magazine,clu#
14,0,275,14,2,1,7,4,0,12,1716.5,1,1,0.323929043,TX,1,1,0,14,1,2,5299,0,1,1,1,78260,1,0,5,U,M,1,5Y,40,RG,1,1,1,S,A,3,Y,G,1,1,1,M,06-01-03,1,1,1,1,1,SAN ANTONIO,204328930,TX,0,1,1
2,0,0,1,2,0,0,0,0,0,97.75,1,1,0.00946273,CA,1,2,0,2,1,2,10330,0,1,1,1,94941,2,1,22,M,M,1,5N,63,RG,1,1,2,S,A,4,Y,J,1,1,1,M,29-03-89,1,2,1,2,2,MILL VALLEY,204328932,CA,0,5,2
2,0,0,1,0,0,0,0,2,3,594.6,1,1,0.071647186,HI,1,1,0,3,1,4,8299,1,3,1,1,96814,1,2,11,Y,U,1,5Y,71,RG,1,1,1,A,I,4,N,E,1,1,1,M,20-10-94,1,1,1,1,1,HONOLULU,204328937,HI,0,2,2
13,4,2727,14,0,6,2,3,0,14,2714.57,1,1,0.324942542,OR,1,1,0,14,1,2,8354,1,3,1,1,97504505383,1,0,23,M,M,1,5N,59,RG,1,1,1,S,A,4,Y,F,2,1,1,M,26-08-94,1,1,1,1,1,MEDFORD,204328955,OR,0,3,3
0,2,325,2,2,0,0,0,0,0,357.05,1,1,0.209905938,OH,1,1,0,2,2,1,1701,2,1,1,1,45056,1,0,24,M,U,1,5N,63,RG,1,1,1,S,A,2,Y,E,2,1,1,F,12-11-12,1,1,2,1,1,OXFORD,204328965,OH,0,1,1
1,0,126,1,0,1,0,0,0,1,115.66,1,1,0.016043834,CA,1,1,0,1,1,3,7209,0,3,1,1,90049234091,1,0,15,U,U,1,5N,28,RG,1,1,1,S,A,3,Y,J,1,1,1,F,14-10-97,1,1,1,1,1,LOS ANGELES,204328969,CA,0,1,1
19,0,3143,6,1,10,2,7,1,21,2062.96,1,1,0.455802033,TX,1,1,0,22,1,2,4526,1,3,1,1,78717390412,1,16,12,U,M,1,5N,56,FG,1,1,1,S,A,4,Y,L,1,1,1,F,17-02-05,1,1,1,1,1,AUSTIN,204328972,TX,0,1,3
5,0,562,0,1,1,1,1,1,4,588,1,1,0.164521544,MD,1,1,0,5,1,1,3574,0,4,1,1,20721122906,1,5,10,U,M,1,5Y,38,RG,1,1,1,S,A,3,N,L,1,1,1,M,27-09-07,1,1,1,1,1,BOWIE,204328975,MD,0,1,1
0,1,0,0,0,0,0,0,1,1,192.1,2,1,0.026456411,GA,1,2,1,1,1,3,7261,1,5,1,4,30024233445,5,1,9,M,M,1,1Y,46,RG,2,2,1,S,A,4,Y,E,5,3,1,F,23-08-97,1,1,1,5,3,SUWANEE,204328982,GA,0,9,2
0,1,335,1,0,1,0,0,0,1,60.98,1,1,0.013808877,CA,1,2,0,1,1,2,4416,1,5,1,1,95376495727,1,0,6,M,M,1,5N,48,RG,1,2,1,S,A,4,Y,F,1,1,2,F,07-06-05,1,1,1,2,2,TRACY,204328989,CA,0,7,1
21,0,2666,0,0,0,2,9,0,21,4128.3,1,1,1.999176755,IL,1,1,0,21,1,1,2065,0,1,1,1,60564,1,21,19,U,M,1,1Y,48,RG,1,1,1,S,A,4,Y,J,1,1,1,M,14-11-11,1,1,1,1,1,NAPERVILLE,204329037,IL,0,1,3
1,0,0,0,0,0,0,0,0,1,531.99,1,1,0.127882212,CA,1,1,0,1,1,2,4160,0,2,1,1,95135172622,1,1,14,Y,M,1,5Y,50,PC,1,1,1,S,A,4,N,H,1,1,1,M,18-02-06,1,1,1,1,1,SAN JOSE,204329039,CA,0,1,2
2,0,0,1,0,1,0,1,0,2,183.45,1,1,0.034574067,AL,1,1,0,2,1,4,5306,0,1,6,1,36693272725,1,1,13,M,M,1,5N,62,RG,1,1,1,S,A,3,N,F,1,1,1,M,30-12-02,1,1,1,2,1,MOBILE,204329043,AL,0,2,2
1,0,275,1,0,0,1,0,0,1,82,1,1,0.031214313,FL,1,1,0,1,1,1,2627,0,9,1,1,34228,1,0,11,Y,U,1,5N,78,RG,1,1,1,S,A,3,N,H,1,1,1,F,01-05-10,1,1,1,1,1,LONGBOAT KEY,204329045,FL,0,1,1
61,0,9890,3,3,16,30,17,0,64,8031.26,1,1,1.547150838,CO,1,1,0,67,1,1,5191,2,1,1,1,80303121417,1,64,11,M,M,1,5U,51,FG,1,1,1,S,A,3,N,L,1,1,1,M,24-04-03,1,1,1,1,1,BOULDER,204329079,CO,0,2,4
2,0,0,7,2,1,3,1,0,5,712.85,1,1,0.282540626,FL,1,1,0,7,1,3,2523,5,6,1,1,33173203352,3,0,31,M,M,1,5N,61,RG,1,2,2,S,A,3,N,E,2,1,1,M,13-08-10,1,2,1,2,1,MIAMI,204329082,FL,0,2,2
6,0,0,6,0,0,1,3,0,6,1782.14,1,1,0.297817513,PA,1,1,0,6,1,5,5984,0,1,1,1,15143872705,1,0,12,U,M,1,5Y,55,RG,1,1,1,S,A,4,Y,L,1,1,1,M,20-02-01,1,1,1,1,1,SEWICKLEY,204329083,PA,0,1,2
1,0,0,1,0,1,0,0,2,4,667.63,1,1,0.332154229,TN,1,1,0,4,1,3,2010,0,1,1,1,38138,1,3,3,M,U,1,5U,41,RG,1,1,1,S,A,2,Y,H,1,1,1,M,08-01-12,1,1,1,1,1,GERMANTOWN,204329084,TN,0,2,2
2,0,626,2,1,1,0,0,0,1,190.42,1,1,0.021275978,MS,1,1,0,2,1,1,8950,0,3,1,1,39759,1,0,1,U,M,1,5U,51,RG,1,1,1,S,A,3,Y,G,1,1,1,M,07-01-93,1,1,1,1,1,STARKVILLE,204329088,CA,0,1,1
0,0,0,1,0,0,0,1,0,1,181.48,1,1,0.093982393,NH,1,2,0,1,3,4,1931,1,9,1,1,3054487820,2,0,14,M,U,1,1Y,82,RG,1,1,1,S,A,3,Y,E,2,1,1,M,27-03-12,1,1,1,1,1,MERRIMACK,204329093,NH,0,7,2
28,0,3727,2,2,5,9,11,0,27,3205,1,1,1.557337221,MN,1,1,0,29,1,2,2058,1,8,1,1,55378,1,27,2,U,U,1,1Y,37,FG,1,1,1,S,A,3,Y,G,1,1,1,F,21-11-11,1,1,1,1,1,SAVAGE,204329097,MN,0,1,3
10,0,275,10,3,0,1,3,0,8,2610.43,1,1,0.431904368,IN,1,2,0,11,1,3,6044,0,1,1,1,46062419343,1,1,10,M,M,1,1Y,52,RG,1,1,1,S,A,3,Y,H,1,1,1,M,22-12-00,1,1,1,1,1,NOBLESVILLE,204329101,IN,0,4,1
11,0,275,12,10,0,1,1,0,2,806.19,1,1,0.182478497,NV,1,1,0,12,1,3,4418,1,9,1,1,89703836708,2,0,17,M,M,1,5N,72,RG,1,1,1,S,A,1,Y,E,2,1,1,F,05-06-05,1,1,1,2,1,CARSON CITY,204329102,NV,0,2,1
1,0,0,1,1,0,0,0,0,0,43.31,1,1,0.008827966,NY,1,2,0,1,1,3,4906,0,6,5,3,11704733587,1,0,53,M,M,1,1Y,53,RG,1,1,2,S,A,5,N,E,3,3,1,M,03-02-04,1,1,1,3,2,WEST BABYLON,204329121,NY,0,2,2
12,0,1466,14,1,3,2,2,0,13,2680.0217,2,1,0.420923779,CA,1,1,0,14,3,2,6367,0,9,2,1,94028,1,0,16,M,M,1,5N,75,RG,1,1,1,S,A,4,Y,G,3,1,2,M,03-02-00,1,1,2,1,1,PORTOLA VALLEY,204329123,CA,0,4,3
13,0,1747,14,3,2,3,3,1,12,2021.6768,1,1,0.361530186,NH,1,1,0,15,1,2,5592,0,3,1,1,38402303,1,1,22,M,U,1,5N,62,RG,1,2,1,S,A,2,N,C,2,1,2,F,19-03-02,1,2,1,1,1,GREENLAND,204329125,NH,0,5,3
3,1,247,4,1,1,1,0,0,4,1791.52,1,1,0.251724041,OR,1,1,0,5,1,1,7117,2,2,1,1,97221,1,1,6,U,M,1,5U,44,RG,1,1,1,S,A,4,Y,J,1,1,1,M,14-01-98,1,1,1,1,1,PORTLAND,204329128,OR,0,1,1
8,8,5688,6,0,2,0,2,1,8,4138.53,1,1,1.966047506,AR,1,1,0,8,1,2,2105,0,3,1,1,71909767402,1,2,13,M,M,1,1Y,49,RG,1,1,1,S,A,1,Y,F,1,2,1,M,05-10-11,1,1,1,1,1,HOT SPRINGS VILLAGE,204329135,AR,0,1,4
19,2,0,15,1,3,4,3,1,19,6035.06,1,1,0.910128186,IL,1,1,0,20,1,2,6631,1,3,1,1,60010880212,1,5,14,Y,M,1,5U,58,FG,1,1,1,S,A,5,Y,H,1,1,1,M,15-05-99,1,1,1,1,1,BARRINGTON,204329150,IL,0,2,2
9,1,1616,2,1,0,2,1,0,8,1623.35,1,1,0.786506783,FL,1,1,0,9,1,3,2064,0,9,1,1,33837,1,7,1,Y,M,1,5N,72,RG,1,1,1,S,A,3,Y,F,2,1,1,M,15-11-11,1,1,1,1,1,DAVENPORT,204329151,FL,0,1,3
47,1,6564,48,5,29,9,4,0,43,6777.95,1,1,0.798251089,CA,1,1,0,48,1,4,8491,0,9,1,1,95240055050,1,0,12,Y,U,1,1Y,67,FG,1,1,1,S,A,4,Y,L,1,1,1,M,11-04-94,1,1,1,1,1,LODI,204329152,CA,0,2,4
3,0,601,3,1,2,0,0,0,2,182.29,1,1,0.222304878,FL,1,1,0,3,1,6,820,0,1,1,1,32225,3,0,11,M,U,1,1Y,36,RG,1,1,1,S,A,3,N,D,1,1,1,M,12-04-15,1,1,1,1,1,JACKSONVILLE,204329164,FL,0,2,1
